,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Attendance,HHW,AHW,HO,AO,Time
0,E1,08/08/14,Blackburn,Cardiff,1.0,1.0,D,1.0,1.0,D,A Madley,12.0,6.0,3.0,3.0,6.0,14.0,4.0,5.0,1.0,3.0,0.0,0.0,,,,,,
1,E1,09/08/14,Brentford,Charlton,1.0,1.0,D,0.0,0.0,D,J Adcock,14.0,13.0,4.0,4.0,3.0,13.0,11.0,5.0,1.0,1.0,0.0,0.0,,,,,,
2,E1,09/08/14,Brighton,Sheffield Weds,0.0,1.0,A,0.0,1.0,A,J Linington,11.0,5.0,3.0,1.0,13.0,13.0,4.0,4.0,3.0,1.0,1.0,0.0,,,,,,
3,E1,09/08/14,Derby,Rotherham,1.0,0.0,H,0.0,0.0,D,K Friend,10.0,16.0,3.0,6.0,8.0,11.0,8.0,3.0,0.0,1.0,0.0,0.0,,,,,,
4,E1,09/08/14,Huddersfield,Bournemouth,0.0,4.0,A,0.0,2.0,A,S Duncan,16.0,12.0,5.0,7.0,15.0,8.0,7.0,4.0,2.0,1.0,0.0,0.0,,,,,,
5,E1,09/08/14,Ipswich,Fulham,2.0,1.0,H,1.0,0.0,H,S Martin,14.0,13.0,5.0,3.0,14.0,9.0,5.0,3.0,3.0,0.0,0.0,0.0,,,,,,
6,E1,09/08/14,Middlesbrough,Birmingham,2.0,0.0,H,1.0,0.0,H,G Salisbury,20.0,4.0,8.0,0.0,9.0,13.0,11.0,2.0,1.0,1.0,0.0,0.0,,,,,,
7,E1,09/08/14,Millwall,Leeds,2.0,0.0,H,1.0,0.0,H,O Langford,14.0,9.0,6.0,3.0,8.0,11.0,4.0,5.0,0.0,0.0,0.0,0.0,,,,,,
8,E1,09/08/14,Nott'm Forest,Blackpool,2.0,0.0,H,2.0,0.0,H,T Harrington,15.0,7.0,4.0,1.0,14.0,10.0,7.0,2.0,1.0,2.0,0.0,0.0,,,,,,
9,E1,09/08/14,Watford,Bolton,3.0,0.0,H,2.0,0.0,H,C Boyeson,18.0,16.0,5.0,4.0,9.0,18.0,4.0,7.0,0.0,0.0,0.0,0.0,,,,,,
10,E1,09/08/14,Wigan,Reading,2.0,2.0,D,1.0,0.0,H,M Brown,8.0,11.0,3.0,4.0,17.0,16.0,2.0,5.0,1.0,1.0,0.0,0.0,,,,,,
11,E1,10/08/14,Wolves,Norwich,1.0,0.0,H,0.0,0.0,D,S Hooper,14.0,12.0,3.0,1.0,8.0,10.0,3.0,5.0,0.0,3.0,0.0,1.0,,,,,,
12,E1,16/08/14,Birmingham,Brighton,1.0,0.0,H,0.0,0.0,D,M Brown,18.0,13.0,5.0,3.0,15.0,15.0,2.0,6.0,0.0,0.0,0.0,0.0,,,,,,
13,E1,16/08/14,Blackpool,Blackburn,1.0,2.0,A,0.0,1.0,A,J Adcock,16.0,11.0,4.0,4.0,15.0,13.0,7.0,5.0,2.0,3.0,0.0,0.0,,,,,,
14,E1,16/08/14,Bolton,Nott'm Forest,2.0,2.0,D,2.0,2.0,D,E Ilderton,9.0,20.0,2.0,7.0,14.0,9.0,2.0,10.0,3.0,0.0,0.0,0.0,,,,,,
15,E1,16/08/14,Bournemouth,Brentford,1.0,0.0,H,0.0,0.0,D,G Ward,16.0,17.0,5.0,4.0,15.0,6.0,13.0,6.0,1.0,3.0,0.0,0.0,,,,,,
16,E1,16/08/14,Cardiff,Huddersfield,3.0,1.0,H,2.0,1.0,H,K Hill,16.0,21.0,9.0,7.0,13.0,13.0,6.0,9.0,0.0,3.0,0.0,0.0,,,,,,
17,E1,16/08/14,Charlton,Wigan,2.0,1.0,H,1.0,1.0,D,A D'Urso,12.0,4.0,5.0,1.0,12.0,11.0,3.0,6.0,0.0,1.0,0.0,0.0,,,,,,
18,E1,16/08/14,Fulham,Millwall,0.0,1.0,A,0.0,1.0,A,L Mason,24.0,11.0,7.0,6.0,16.0,15.0,11.0,2.0,3.0,0.0,0.0,0.0,,,,,,
19,E1,16/08/14,Leeds,Middlesbrough,1.0,0.0,H,0.0,0.0,D,S Attwell,9.0,11.0,4.0,0.0,7.0,12.0,4.0,4.0,1.0,3.0,0.0,0.0,,,,,,
20,E1,16/08/14,Norwich,Watford,3.0,0.0,H,1.0,0.0,H,P Tierney,30.0,10.0,8.0,3.0,12.0,5.0,11.0,1.0,1.0,1.0,0.0,1.0,,,,,,
